"","pred","CI.Lo.50","CI.Hi.50","CI.Lo.95","CI.Hi.95","CI.year","CI.period","arma","aicc","pred.1","CI.Lo.50.1","CI.Hi.50.1","CI.Lo.95.1","CI.Hi.95.1","CI.year.1","CI.period.1","arma.1","aicc.1","pred.2","CI.Lo.50.2","CI.Hi.50.2","CI.Lo.95.2","CI.Hi.95.2","CI.year.2","CI.period.2","arma.2","aicc.2","pred.3","CI.Lo.50.3","CI.Hi.50.3","CI.Lo.95.3","CI.Hi.95.3","CI.year.3","CI.period.3","arma.3","aicc.3","pred.4","CI.Lo.50.4","CI.Hi.50.4","CI.Lo.95.4","CI.Hi.95.4","CI.year.4","CI.period.4","arma.4","aicc.4"
"1",3170.62364723025,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2743.27366670358,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,2743.07376442102,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,2743.27372262739,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,2743.01154862612,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"2",3506.23732862194,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2917.30695290698,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,3056.14160547083,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,2947.29443416348,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,4024.16993246154,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"3",2028.64175222383,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2860.13967579709,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,3375.40338184894,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,3757.56040400552,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,3865.96393520434,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"4",1788.40847332472,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,3136.12355184843,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,2171.49703568055,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,2753.2763847426,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,2197.51536038964,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"5",2817.38269828592,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2327.82306775436,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1962.7241905106,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1611.91223822586,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1281.36881698556,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"6",1491.45719813347,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1710.43890511233,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,2468.82885958173,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1825.53987484062,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1708.99598718406,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"7",3352.09636571841,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2600.85972348362,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,2606.32446935721,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,3265.59089249411,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,4227.60184010584,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"8",1053.65160925088,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2088.38595394786,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,3313.85393436223,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,2248.9158979211,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1687.38731538967,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"9",2018.87716508986,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1876.25075915605,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1962.88922808757,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1563.17182586907,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1599.4691208993,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"10",1419.15834828796,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1693.42955038892,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1092.45683874626,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1077.94745340982,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1390.55677316931,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"11",1127.94123389733,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,2567.20333376215,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1212.65528971867,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1627.21653858995,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1131.29738719374,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"12",953.932854733634,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1353.96618402667,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1193.04451011987,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1537.1669970519,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1471.66268731485,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"13",1200.26779217922,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,804.052610123682,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1260.92058959417,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,934.952118047579,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1457.80200487822,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"14",NA,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,NA,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,NA,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,NA,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,NA,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"15",619.437755885774,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1276.10964695714,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1197.2878797297,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1101.97328809905,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,820.494734005384,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"16",509.834288285076,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,778.10137294974,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,922.03414151828,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,814.66013281947,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,842.28271788718,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"17",1516.85805382645,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,1275.82548573614,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,622.974351740693,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,747.793305068701,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1127.93992513511,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
"18",644.876421597533,939.91002995264,1488.14398791861,606.627567623582,2305.73342675113,2009,1,"0000200",30.6414733359188,917.905614529033,580.411985176934,1081.33603885785,320.799207846151,1956.42751480186,2009,1,"0101210",56.5645655732762,1104.6786630546,514.124961049173,1070.34988773293,255.625081444224,2152.73709148823,2009,1,"1000210",65.2716355540387,1090.09319722931,577.491440944024,1157.31334818962,297.750705317993,2244.62458403247,2009,1,"0101210",63.2681407869987,1064.03085128203,660.994645717066,1187.13007516602,378.328582106006,2074.08760682684,2009,1,"0101210",53.726476953534
